grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Masculino,2002,2,2002-02-01,513,7175673.333333333,7.149154876058089
Masculino,2002,3,2002-03-01,531,7175673.333333333,7.400002415568899
Masculino,2002,4,2002-04-01,479,7175673.333333333,6.675331745871004
Masculino,2002,5,2002-05-01,477,7175673.333333333,6.647459797036468
Masculino,2002,6,2002-06-01,449,7175673.333333333,6.257252513352986
Masculino,2002,7,2002-07-01,456,7175673.333333333,6.354804334273857
Masculino,2002,8,2002-08-01,496,7175673.333333333,6.912243310964546
Masculino,2002,9,2002-09-01,492,7175673.333333333,6.856499413295478
Masculino,2002,10,2002-10-01,548,7175673.333333333,7.636913980662442
Masculino,2002,11,2002-11-01,515,7175673.333333333,7.177026824892623
Masculino,2002,12,2002-12-01,558,7175673.333333333,7.776273724835114
Masculino,2003,1,2003-01-01,550,7274535.166666667,7.560620539992807
Masculino,2003,2,2003-02-01,485,7274535.166666667,6.667092657993657
Masculino,2003,3,2003-03-01,560,7274535.166666667,7.698086367992675
Masculino,2003,4,2003-04-01,510,7274535.166666667,7.010757227993331
Masculino,2003,5,2003-05-01,499,7274535.166666667,6.859544817193473
Masculino,2003,6,2003-06-01,489,7274535.166666667,6.722078989193605
Masculino,2003,7,2003-07-01,477,7274535.166666667,6.557119995593761
Masculino,2003,8,2003-08-01,528,7274535.166666667,7.258195718393094
Masculino,2003,9,2003-09-01,569,7274535.166666667,7.821805613192558
Masculino,2003,10,2003-10-01,526,7274535.166666667,7.230702552793121
Masculino,2003,11,2003-11-01,525,7274535.166666667,7.216955969993134
Masculino,2003,12,2003-12-01,538,7274535.166666667,7.395661546392964
Masculino,2004,1,2004-01-01,559,7474808.75,7.478452207890938
Masculino,2004,2,2004-02-01,509,7474808.75,6.809538772480299
Masculino,2004,3,2004-03-01,547,7474808.75,7.317912983392384
Masculino,2004,4,2004-04-01,560,7474808.75,7.49183047659915
Masculino,2004,5,2004-05-01,512,7474808.75,6.849673578604937
Masculino,2004,6,2004-06-01,494,7474808.75,6.608864741857107
Masculino,2004,7,2004-07-01,461,7474808.75,6.167381874486087
Masculino,2004,8,2004-08-01,509,7474808.75,6.809538772480299
Masculino,2004,9,2004-09-01,533,7474808.75,7.130617221477405
Masculino,2004,10,2004-10-01,525,7474808.75,7.023591071811703
Masculino,2004,11,2004-11-01,536,7474808.75,7.1707520276020436
Masculino,2004,12,2004-12-01,566,7474808.75,7.572100088848427
Masculino,2005,1,2005-01-01,588,7589638.583333333,7.747404484993977
Masculino,2005,2,2005-02-01,522,7589638.583333333,6.877797859127306
Masculino,2005,3,2005-03-01,564,7589638.583333333,7.431183893769734
Masculino,2005,4,2005-04-01,542,7589638.583333333,7.141315018480842
Masculino,2005,5,2005-05-01,555,7589638.583333333,7.312601172060642
Masculino,2005,6,2005-06-01,502,7589638.583333333,6.6142806997737695
Masculino,2005,7,2005-07-01,536,7589638.583333333,7.062259870674782
